"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122","Bookings - Get Booking IDs","Newman: Restful Booker API","2026-08-31","passed","2026-08-31","","","",""
"","31","[TC-008]: Validation: Missing bookingdates","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","29","[TC-017]: returns 404 for a non-numeric booking id","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","30","[TC-008]: returns a 500 for a completely empty body instead of a 400","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","59","[TC-029]: 4. Update reservation via PUT and PATCH","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking Transactional CRUD Lifecycle","api/integration/booking-crud.spec.ts","",""
"","62","[TC-014]: matches names case-sensitively","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","73","Bookings - Get Booking","Newman: Restful Booker API","2026-08-31","passed","2026-08-31","","","",""
"","58","[TC-020]: partially updates a booking via PATCH, leaving other fields intact","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","56","[TC-024]: rejects a PUT request with no authorization","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","30","[TC-017]: returns 404 for a booking id that does not exist","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","36","[TC-012]: filters by checkin alone","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","73","[TC-010]: lists all booking ids","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","31","[TC-008]: Validation: Null lastname value","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
